"","latitude","longitude"
"1",1.306,103.92
"2",23.741,120.755
"3",25.073,121.536
"4",25.119,121.505
"5",25.056,121.552
"6",25.04,121.52
"7",25.126,121.507
"8",25.078,121.549
"9",25.067,121.611
"10",25.08,121.522
"11",25.024,121.514
"12",25.023,121.498
"13",25.061,121.59
"14",25.056,121.562
"15",25.031,121.563
"16",25.002,121.551
"17",25.04,121.619
"18",23.848,120.286
"19",23.954,120.575
"20",25.052,121.563
"21",25.038,121.548
"22",25.084,121.507
"23",25.11,121.536
"24",25.023,121.499
"25",25.038,121.585
"26",25.064,121.516
"27",25.061,121.516
"28",25.036,121.532
"29",25.031,121.493
"30",25.098,121.53
"31",25.089,121.503
"32",25.105,121.482
"33",25.062,121.451
"34",23.468,120.453
"35",1.322,103.869
"36",23.483,120.443
"37",25.054,121.553
"38",22.977,120.275
"39",22.961,120.323
"40",24.989,121.557
"41",23.471,120.431
"42",25,121.567
"43",22.61,120.317
"44",22.673,121.471
"45",22.628,120.332
"46",24.461,118.452
"47",25.047,121.297
"48",24.795,120.996
"49",25.056,121.43
"50",23.495,120.455
"51",24.149,120.681
"52",24.151,120.665
"53",24.159,120.659
"54",24.115,120.631
"55",24.166,120.678
"56",24.136,120.665
"57",24.191,120.612
"58",24.136,120.635
"59",24.135,120.657
"60",24.11,120.639
"61",24.108,120.64
"62",24.229,120.532
"63",24.235,120.535
"64",24.239,120.554
"65",24.348,120.624
"66",24.276,120.635
"67",24.351,120.625
"68",24.25,120.538
"69",24.254,120.72
"70",23.245,120.16
"71",23.319,120.345
"72",25.062,121.451
"73",25.062,121.451
"74",22.944,120.414
"75",24.15,120.696
"76",24.172,120.639
"77",23.173,120.485
"78",24.179,120.64
"79",24.143,120.655
"80",24.151,120.633
"81",24.336,120.6
"82",24.165,120.573
"83",24.184,120.529
"84",24.198,120.662
"85",24.176,120.669
"86",24.394,120.603
"87",24.166,120.682
"88",24.187,120.61
"89",24.164,120.731
"90",24.148,120.67
"91",24.19,120.614
"92",24.124,120.724
"93",24.112,120.716
"94",24.125,120.679
"95",24.128,120.69
"96",23.717,120.546
"97",24.123,120.752
"98",24.157,120.664
"99",24.12,120.734
"100",24.047,120.429
"101",24.063,120.533
"102",24.168,120.759
"103",24.167,120.691
"104",24.214,120.631
"105",24.134,120.724
"106",24.156,120.637
"107",24.116,120.663
"108",24.226,120.582
"109",24.609,120.761
"110",25.062,121.451
"111",24.171,120.695
"112",24.123,120.631
"113",25.062,121.451
"114",24.196,120.748
"115",24.152,120.655
"116",24.288,120.723
"117",24.196,120.547
"118",3.04657162921348,101.695
"119",24.134,120.608
"120",24.122,120.628
"121",24.311,120.678
"122",24.301,120.711
"123",24.345,120.588
"124",24.325,120.75
"125",24.122,120.735
"126",24.314,120.719
"127",24.313,120.729
"128",24.136,120.638
"129",24.186,120.698
"130",24.302,120.72
"131",24.266,120.566
"132",24.145,120.725
"133",24.304,120.717
"134",24.164,120.695
"135",24.137,120.658
"136",24.109,120.599
"137",24.185,120.667
"138",24.175,120.716
"139",24.17,120.668
"140",24.172,120.682
"141",24.16,120.673
"142",24.153,120.631
"143",24.122,120.569
"144",24.141,120.657
"145",24.198,120.501
"146",24.154,120.65
"147",24.109,120.688
"148",24.143,120.681
"149",24.134,120.556
"150",24.255,121.259
"151",24.407,120.642
"152",24.173,120.696
"153",24.215,120.705
"154",24.154,120.648
"155",14.647,121.071
"156",25.062,121.451
"157",21.004,105.847
"158",24.312,120.561
"159",24.252,120.835
"160",24.159,120.706
"161",24.239,120.703
"162",24.154,120.719
"163",24.173,120.652
"164",24.286,120.792
"165",25.062,121.451
"166",24.145,120.693
"167",24.112,120.657
"168",24.131,120.684
"169",24.057,120.699
"170",24.066,120.735
"171",25.062,121.451
"172",24.035,120.724
"173",24.167,120.709
"174",24.346,120.704
"175",24.241,120.787
"176",24.164,120.865
"177",24.237,120.85
"178",24.348,120.627
"179",24.315,120.69
"180",24.114,120.684
"181",24.216,120.526
"182",24.252,120.713
"183",24.028,120.697
"184",24.073,120.667
"185",24.139,120.715
"186",24.276,120.574
"187",24.213,120.55
"188",24.249,120.712
"189",25.062,121.451
"190",24.307,120.714
"191",24.201,121.006
"192",24.237,120.879
"193",24.212,120.709
"194",24.332,120.653
"195",24.223,120.65
"196",24.219,120.667
"197",24.203,120.725
"198",25.062,121.451
"199",24.221,120.632
"200",24.094,120.647
"201",24.202,120.703
"202",24.229,120.643
"203",24.154,120.546
"204",24.157,120.828
"205",25.062,121.451
"206",24.273,120.658
"207",23.933,120.669
"208",24.171,120.895
"209",24.24,120.81
"210",24.308,120.704
"211",24.174,120.578
"212",24.115,120.657
"213",24.157,120.696
"214",24.086,120.702
"215",25.062,121.451
"216",24.106,120.687
"217",24.164,120.715
"218",24.337,120.664
"219",24.266,120.807
"220",24.303,120.707
"221",24.193,120.812
"222",24.14,120.64
"223",24.18,120.666
"224",24.252,120.739
"225",24.131,120.644
"226",24.148,120.637
"227",24.041,120.639
"228",24.1,120.677
"229",25.062,121.451
"230",24.17,120.619
"231",25.062,121.451
"232",24.112,120.667
"233",23.287,120.201
"234",24.168,120.573
"235",23.297,120.298
"236",23.305,120.306
"237",24.061,120.642
"238",24.135,120.648
"239",24.152,120.637
"240",22.608,120.322
"241",23.135,120.288
"242",23.138,120.324
"243",23.128,120.294
"244",25.062,121.451
"245",23.205,120.24
"246",23.16,120.246
"247",22.956,120.494
"248",23.009,120.514
"249",25.062,121.451
"250",22.616,120.384
"251",25.062,121.451
"252",22.645,120.335
"253",22.634,120.287
"254",22.663,120.315
