"code","station","date","latitude","longitude","air_temp","wd","ws"
"466860-99999","CHIANG KAI SHEK INTERNATIONAL, TW",2017-02-28 23:00:00,25.077731,121.232822,14.3333333333333,43.3333333333333,3.6
"466860-99999","CHIANG KAI SHEK INTERNATIONAL, TW",2017-03-01,25.077731,121.232822,15,25,3.85
"466860-99999","CHIANG KAI SHEK INTERNATIONAL, TW",2017-03-01 01:00:00,25.077731,121.232822,15,10,4.85
"466860-99999","CHIANG KAI SHEK INTERNATIONAL, TW",2017-03-01 02:00:00,25.077731,121.232822,16.5,10,5.4
"466860-99999","CHIANG KAI SHEK INTERNATIONAL, TW",2017-03-01 03:00:00,25.077731,121.232822,16.5,185,5.65
"466860-99999","CHIANG KAI SHEK INTERNATIONAL, TW",2017-03-01 04:00:00,25.077731,121.232822,16.5,185,3.85
"466860-99999","CHIANG KAI SHEK INTERNATIONAL, TW",2017-03-01 05:00:00,25.077731,121.232822,17,190,3.35
"466860-99999","CHIANG KAI SHEK INTERNATIONAL, TW",2017-03-01 06:00:00,25.077731,121.232822,17,190,2.35
"466860-99999","CHIANG KAI SHEK INTERNATIONAL, TW",2017-03-01 07:00:00,25.077731,121.232822,17,15,3.1
"466860-99999","CHIANG KAI SHEK INTERNATIONAL, TW",2017-03-01 08:00:00,25.077731,121.232822,16,185,2.35
"466860-99999","CHIANG KAI SHEK INTERNATIONAL, TW",2017-03-01 09:00:00,25.077731,121.232822,16,15,1.8
"466860-99999","CHIANG KAI SHEK INTERNATIONAL, TW",2017-03-01 10:00:00,25.077731,121.232822,16,350,1
"466860-99999","CHIANG KAI SHEK INTERNATIONAL, TW",2017-03-01 11:00:00,25.077731,121.232822,15.5,40,1.25
"466860-99999","CHIANG KAI SHEK INTERNATIONAL, TW",2017-03-01 12:00:00,25.077731,121.232822,16.5,90,1.8
"466860-99999","CHIANG KAI SHEK INTERNATIONAL, TW",2017-03-01 13:00:00,25.077731,121.232822,16,NA,0.75
"466860-99999","CHIANG KAI SHEK INTERNATIONAL, TW",2017-03-01 14:00:00,25.077731,121.232822,15,180,1.25
"466860-99999","CHIANG KAI SHEK INTERNATIONAL, TW",2017-03-01 15:00:00,25.077731,121.232822,15.5,70,1.8
"466860-99999","CHIANG KAI SHEK INTERNATIONAL, TW",2017-03-01 16:00:00,25.077731,121.232822,16.5,150,1.8
"466860-99999","CHIANG KAI SHEK INTERNATIONAL, TW",2017-03-01 17:00:00,25.077731,121.232822,14,165,1.8
"466860-99999","CHIANG KAI SHEK INTERNATIONAL, TW",2017-03-01 18:00:00,25.077731,121.232822,14,40,3.35
"466860-99999","CHIANG KAI SHEK INTERNATIONAL, TW",2017-03-01 19:00:00,25.077731,121.232822,14.5,50,4.6
"466860-99999","CHIANG KAI SHEK INTERNATIONAL, TW",2017-03-01 20:00:00,25.077731,121.232822,15,95,2.85
"466860-99999","CHIANG KAI SHEK INTERNATIONAL, TW",2017-03-01 21:00:00,25.077731,121.232822,14,100,2.1
"466860-99999","CHIANG KAI SHEK INTERNATIONAL, TW",2017-03-01 22:00:00,25.077731,121.232822,15,63.3333333333333,7.03333333333333
"466860-99999","CHIANG KAI SHEK INTERNATIONAL, TW",2017-03-01 23:00:00,25.077731,121.232822,16,55,10.55
"466860-99999","CHIANG KAI SHEK INTERNATIONAL, TW",2017-03-02,25.077731,121.232822,16,50,11.6
"466860-99999","CHIANG KAI SHEK INTERNATIONAL, TW",2017-03-02 01:00:00,25.077731,121.232822,16,40,12.65
"466860-99999","CHIANG KAI SHEK INTERNATIONAL, TW",2017-03-02 02:00:00,25.077731,121.232822,16,40,13.4
"466860-99999","CHIANG KAI SHEK INTERNATIONAL, TW",2017-03-02 03:00:00,25.077731,121.232822,16,40,12.9
"466860-99999","CHIANG KAI SHEK INTERNATIONAL, TW",2017-03-02 04:00:00,25.077731,121.232822,15.5,40,12.65
"466860-99999","CHIANG KAI SHEK INTERNATIONAL, TW",2017-03-02 05:00:00,25.077731,121.232822,15,40,12.65
"466860-99999","CHIANG KAI SHEK INTERNATIONAL, TW",2017-03-02 06:00:00,25.077731,121.232822,15,40,12.1
"466860-99999","CHIANG KAI SHEK INTERNATIONAL, TW",2017-03-02 07:00:00,25.077731,121.232822,15.5,40,12.1
"466860-99999","CHIANG KAI SHEK INTERNATIONAL, TW",2017-03-02 08:00:00,25.077731,121.232822,14.6666666666667,40,12
"466860-99999","CHIANG KAI SHEK INTERNATIONAL, TW",2017-03-02 09:00:00,25.077731,121.232822,14,45,11.8
"466860-99999","CHIANG KAI SHEK INTERNATIONAL, TW",2017-03-02 10:00:00,25.077731,121.232822,13,55,10.3
"466860-99999","CHIANG KAI SHEK INTERNATIONAL, TW",2017-03-02 11:00:00,25.077731,121.232822,12.5,70,7.7
"466860-99999","CHIANG KAI SHEK INTERNATIONAL, TW",2017-03-02 12:00:00,25.077731,121.232822,12,60,7.7
"466860-99999","CHIANG KAI SHEK INTERNATIONAL, TW",2017-03-02 13:00:00,25.077731,121.232822,12.5,60,7.7
